City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Port-Gentil,GA,2021-02-05 00:34:32,-0.7193,8.7815,82.4,89,40,9.22
139,Oranjemund,NA,2021-02-05 00:34:32,-28.55,16.4333,62.24,93,60,11.34
140,Busselton,AU,2021-02-05 00:28:06,-33.65,115.3333,64.0,62,0,1.01
141,Saskylakh,RU,2021-02-05 00:29:01,71.9167,114.0833,-40.56,75,0,3.13
142,Butaritari,KI,2021-02-05 00:27:13,3.0707,172.7902,79.63,86,100,13.51
143,Taunggyi,MM,2021-02-05 00:34:13,20.7833,97.0333,54.48,66,0,1.77
144,San Pedro,PH,2021-02-05 00:34:33,14.35,121.0167,84.0,69,40,1.14
145,Nelson Bay,AU,2021-02-05 00:33:15,-32.7167,152.15,82.4,51,0,13.8
146,Zeya,RU,2021-02-05 00:33:08,53.75,127.2667,-18.26,83,97,1.52
147,Jinchang,CN,2021-02-05 00:34:34,38.4953,102.1739,31.53,61,0,8.48
148,Chuy,UY,2021-02-05 00:29:13,-33.6971,-53.4616,64.98,84,62,13.02
149,Parintins,BR,2021-02-05 00:34:34,-2.6283,-56.7358,80.85,71,100,2.13
150,Aklavik,CA,2021-02-05 00:32:36,68.2191,-135.0107,-40.0,67,40,4.61
151,Komsomolskiy,UZ,2021-02-05 00:33:13,40.4272,71.7189,30.2,69,0,6.91
152,Chiang Rai,TH,2021-02-05 00:34:34,19.9167,99.9167,60.8,100,0,2.3
153,Isangel,VU,2021-02-05 00:31:57,-19.55,169.2667,86.0,74,75,3.44
154,Beringovskiy,RU,2021-02-05 00:34:35,63.05,179.3167,-0.02,92,100,8.52
155,Bac Lieu,VN,2021-02-05 00:34:35,9.285,105.7244,77.9,75,5,12.28
156,Campoverde,PE,2021-02-05 00:34:35,-8.4753,-74.8058,77.0,94,75,4.61
157,Laguna,US,2021-02-05 00:27:16,38.421,-121.4238,62.6,34,1,8.05
158,Maine-Soroa,NE,2021-02-05 00:34:35,13.2114,12.0241,66.7,27,0,12.44
159,Evreux,FR,2021-02-05 00:34:35,49.0241,1.1508,44.01,100,100,5.75
160,Carutapera,BR,2021-02-05 00:32:33,-1.195,-46.02,79.03,84,71,6.58
161,Bengkulu,ID,2021-02-05 00:31:58,-3.8004,102.2655,78.22,79,18,4.12
162,Umba,RU,2021-02-05 00:33:09,66.6871,34.3429,4.12,92,16,9.6
163,General Roca,AR,2021-02-05 00:34:36,-39.0333,-67.5833,86.0,39,0,2.3
164,Taree,AU,2021-02-05 00:34:36,-31.9,152.4667,80.6,61,40,12.66
165,Riyadh,SA,2021-02-05 00:33:11,24.6877,46.7219,64.4,25,0,3.44
166,Torbay,CA,2021-02-05 00:31:49,47.6666,-52.7314,42.01,100,1,6.91
167,Svetlogorsk,BY,2021-02-05 00:32:08,52.6333,29.7333,12.52,94,83,12.55
168,Saint George,US,2021-02-05 00:27:18,37.1041,-113.5841,54.0,24,1,4.72
169,Cabo San Lucas,MX,2021-02-05 00:27:02,22.8909,-109.9124,80.6,24,40,5.75
170,Bira,RU,2021-02-05 00:34:37,49.0,132.4667,-9.31,81,2,4.12
171,Ola,RU,2021-02-05 00:32:37,59.5833,151.2833,-3.08,84,87,15.41
172,Katsuura,JP,2021-02-05 00:33:21,35.1333,140.3,46.99,45,20,11.5
173,Rio Tercero,AR,2021-02-05 00:34:37,-32.173,-64.1141,66.0,74,0,1.99
174,Khao Yoi,TH,2021-02-05 00:34:38,13.2403,99.8243,71.01,78,9,4.81
175,Iralaya,HN,2021-02-05 00:34:38,15.0,-83.2333,77.0,75,40,4.61
176,Ushtobe,KZ,2021-02-05 00:34:38,45.2514,77.9838,26.62,90,100,0.69
177,Santo Tomas,PH,2021-02-05 00:34:38,14.1079,121.1414,84.0,69,40,1.14
178,Provideniya,RU,2021-02-05 00:27:19,64.3833,-173.3,-6.38,88,100,26.87
179,Agirish,RU,2021-02-05 00:34:38,61.9247,63.0231,5.34,95,98,4.85
180,Mecca,SA,2021-02-05 00:32:09,21.4267,39.8261,72.1,80,73,1.28
181,Idlib,SY,2021-02-05 00:34:39,35.9306,36.6339,46.4,93,40,7.45
182,Turtas,RU,2021-02-05 00:34:39,58.9417,69.1325,12.88,96,100,7.36
183,Victoria,HK,2021-02-05 00:33:12,22.2855,114.1577,66.0,78,75,1.99
184,Tarakan,ID,2021-02-05 00:34:39,3.3,117.6333,78.8,94,20,2.3
185,Tuktoyaktuk,CA,2021-02-05 00:27:21,69.4541,-133.0374,-34.6,74,40,10.36
186,Maniitsoq,GL,2021-02-05 00:34:40,65.4167,-52.9,12.74,73,99,6.78
187,Avera,US,2021-02-05 00:32:32,33.194,-82.5271,50.0,43,40,8.05
188,Anori,BR,2021-02-05 00:34:40,-3.7728,-61.6442,76.01,95,37,1.79
189,Hami,CN,2021-02-05 00:32:18,42.8,93.45,24.62,88,0,1.97
190,Salalah,OM,2021-02-05 00:32:11,17.0151,54.0924,71.6,73,40,4.61
191,Matagami,CA,2021-02-05 00:34:40,49.7502,-77.6328,23.0,80,1,10.36
192,Ahipara,NZ,2021-02-05 00:33:04,-35.1667,173.1667,69.73,66,100,5.08
193,Hasaki,JP,2021-02-05 00:32:13,35.7333,140.8333,42.8,42,20,14.97
194,Baghmara,IN,2021-02-05 00:34:42,23.795,86.2085,56.21,44,0,2.55
195,Nago,JP,2021-02-05 00:34:42,26.5881,127.9761,64.4,59,75,5.75
196,Ballina,AU,2021-02-05 00:32:54,-28.8667,153.5667,82.4,65,40,9.22
197,Tadine,NC,2021-02-05 00:34:42,-21.55,167.8833,81.88,77,0,14.7
198,Gravdal,NO,2021-02-05 00:34:43,68.1214,13.5031,34.93,84,100,17.2
199,Carnarvon,AU,2021-02-05 00:28:08,-24.8667,113.6333,78.85,80,100,23.35
200,Homer,US,2021-02-05 00:34:43,59.6425,-151.5483,27.0,74,1,10.36
201,Bilma,NE,2021-02-05 00:32:39,18.6853,12.9164,58.37,34,0,4.59
202,Susehri,TR,2021-02-05 00:33:05,40.1644,38.0867,36.27,83,40,2.26
203,Nikolskoye,RU,2021-02-05 00:27:24,59.7035,30.7861,8.01,85,75,8.95
204,Garmsar,IR,2021-02-05 00:34:44,35.2182,52.3409,48.02,51,98,1.07
205,Kasangulu,CD,2021-02-05 00:34:44,-4.5911,15.1708,75.2,88,75,4.61
206,Onalaska,US,2021-02-05 00:30:47,43.8844,-91.2351,24.8,68,90,17.27
207,Belyy Yar,RU,2021-02-05 00:34:44,53.6039,91.3903,8.6,85,100,2.24
208,Flin Flon,CA,2021-02-05 00:31:55,54.7682,-101.865,-4.0,77,75,8.05
209,Poros,GR,2021-02-05 00:34:44,37.4994,23.4536,57.0,75,0,6.13
210,Beverley,GB,2021-02-05 00:34:44,53.8459,-0.4233,44.01,100,75,10.36
211,Angoram,PG,2021-02-05 00:34:45,-4.0625,144.0661,81.91,80,89,1.74
212,Mar Del Plata,AR,2021-02-05 00:27:26,-38.0023,-57.5575,64.99,72,40,11.5
213,Nagar Karnul,IN,2021-02-05 00:34:45,16.4821,78.3247,60.84,59,0,4.27
214,Opuwo,NA,2021-02-05 00:34:45,-18.0607,13.84,71.15,33,49,3.09
215,Russellville,US,2021-02-05 00:33:22,35.2784,-93.1338,48.2,49,1,9.22
216,San Quintin,MX,2021-02-05 00:31:47,30.4833,-115.95,58.98,70,100,16.64
217,Grandview,US,2021-02-05 00:32:23,38.8858,-94.533,30.2,69,1,12.66
218,La Ferte-Bernard,FR,2021-02-05 00:34:46,48.1863,0.6536,43.0,100,90,2.3
219,Luderitz,NA,2021-02-05 00:32:42,-26.6481,15.1594,67.14,62,0,19.17
220,Sterling,US,2021-02-05 00:32:21,39.0062,-77.4286,39.2,38,1,4.61
221,Narsaq,GL,2021-02-05 00:33:12,60.9167,-46.05,15.8,48,93,4.61
222,Pasni,PK,2021-02-05 00:34:47,25.2631,63.471,65.95,28,0,8.25
223,Chokurdakh,RU,2021-02-05 00:28:24,70.6333,147.9167,-13.02,87,49,20.04
224,Nueva Helvecia,UY,2021-02-05 00:34:47,-34.3,-57.2333,66.0,82,0,8.72
225,Cascais,PT,2021-02-05 00:31:22,38.6979,-9.4215,53.01,92,100,8.34
226,Port Hardy,CA,2021-02-05 00:29:49,50.6996,-127.4199,42.8,100,90,4.61
227,Karangsembung,ID,2021-02-05 00:34:47,-6.8487,108.6422,78.15,82,100,8.84
228,Goundam,ML,2021-02-05 00:34:48,16.4145,-3.6708,74.89,17,100,6.82
229,Codrington,AU,2021-02-05 00:33:09,-38.2667,141.9667,55.53,80,100,12.35
230,Sao Miguel Do Araguaia,BR,2021-02-05 00:34:48,-13.275,-50.1628,76.51,79,94,3.31
231,Luwuk,ID,2021-02-05 00:33:14,-0.9516,122.7875,83.17,67,100,1.61
232,Pangkalanbuun,ID,2021-02-05 00:34:48,-2.6833,111.6167,78.3,89,58,3.27
233,Kieta,PG,2021-02-05 00:32:35,-6.2167,155.6333,86.9,62,9,6.15
234,Tura,IN,2021-02-05 00:33:01,25.5198,90.2201,58.87,59,0,3.2
235,Maldonado,UY,2021-02-05 00:34:49,-34.6667,-54.9167,68.0,83,75,23.02
236,San Carlos De Bariloche,AR,2021-02-05 00:32:26,-41.1456,-71.3082,80.6,16,0,6.91
237,Maragogi,BR,2021-02-05 00:32:35,-9.0122,-35.2225,78.35,81,42,9.89
238,Hanzhong,CN,2021-02-05 00:34:49,33.0728,107.0303,42.67,65,1,1.1
239,Nouakchott,MR,2021-02-05 00:31:56,18.0858,-15.9785,64.4,88,0,13.8
240,Pisco,PE,2021-02-05 00:33:17,-13.7,-76.2167,73.4,73,0,17.27
241,Natal,BR,2021-02-05 00:33:21,-5.795,-35.2094,80.6,74,0,11.5
242,Dawlatabad,AF,2021-02-05 00:31:52,36.4141,64.9053,44.71,50,10,2.33
243,Coahuayana,MX,2021-02-05 00:34:50,18.7333,-103.6833,78.8,69,1,2.66
244,Basco,PH,2021-02-05 00:34:50,20.4487,121.9702,70.74,73,22,21.92
245,Hilo,US,2021-02-05 00:28:35,19.7297,-155.09,73.4,73,75,17.27
246,Wajima,JP,2021-02-05 00:34:50,37.4,136.9,32.0,100,75,4.61
247,Valparaiso,CL,2021-02-05 00:32:03,-33.0393,-71.6273,63.0,100,40,5.75
248,Changtu,CN,2021-02-05 00:34:51,42.7788,124.0955,23.43,94,0,14.81
249,Airai,TL,2021-02-05 00:32:21,-8.9266,125.4092,67.39,96,100,4.99
250,Vila,PT,2021-02-05 00:34:51,42.0304,-8.1588,41.0,93,85,2.89
251,Nome,US,2021-02-05 00:32:00,64.5011,-165.4064,7.0,66,90,18.41
252,Reggello,IT,2021-02-05 00:34:51,43.6801,11.5293,53.6,94,75,3.44
253,Puerto Ayora,EC,2021-02-05 00:27:33,-0.7393,-90.3518,78.01,90,39,3.0
254,Faanui,PF,2021-02-05 00:34:52,-16.4833,-151.75,81.43,68,27,6.4
255,Magistralnyy,RU,2021-02-05 00:34:52,56.1725,107.4458,2.55,92,100,2.84
256,Huangmei,CN,2021-02-05 00:34:52,30.1924,116.025,49.05,91,100,1.74
257,Labuhan,ID,2021-02-05 00:32:19,-6.8844,112.2051,81.63,80,83,19.35
258,Hamilton,US,2021-02-05 00:28:45,39.1834,-84.5333,37.4,75,90,9.22
259,Warragul,AU,2021-02-05 00:34:53,-38.1667,145.9333,82.0,70,19,15.01
260,Matara,LK,2021-02-05 00:32:48,5.9485,80.5353,72.54,88,37,5.44
261,Plettenberg Bay,ZA,2021-02-05 00:34:53,-34.0527,23.3716,64.81,88,0,1.88
262,Guerrero Negro,MX,2021-02-05 00:32:37,27.9769,-114.0611,61.93,64,100,17.29
263,Inhambane,MZ,2021-02-05 00:34:53,-23.865,35.3833,80.31,85,9,3.27
264,Cabedelo,BR,2021-02-05 00:34:54,-6.9811,-34.8339,78.8,83,0,4.61
265,San Patricio,US,2021-02-05 00:27:35,28.017,-97.5169,73.4,68,40,12.66
