City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Lima,PE,2021-02-06 17:50:00,-12.0432,-77.0282,78.01,69,0,6.91,clear sky
172,Yumen,CN,2021-02-06 17:52:12,40.2833,97.2,26.62,73,49,1.5,scattered clouds
173,Hanstholm,DK,2021-02-06 17:52:12,57.1167,8.6167,23.0,82,25,10.0,scattered clouds
174,Airai,TL,2021-02-06 17:52:12,-8.9266,125.4092,60.51,100,100,2.39,light rain
175,Saldanha,ZA,2021-02-06 17:52:12,-33.0117,17.9442,73.4,68,20,18.41,few clouds
176,Sisimiut,GL,2021-02-06 17:52:12,66.9395,-53.6735,20.84,75,0,14.29,clear sky
177,Kieta,PG,2021-02-06 17:52:12,-6.2167,155.6333,79.88,79,93,7.7,overcast clouds
178,Kiunga,PG,2021-02-06 17:52:12,-6.1219,141.2906,74.37,98,100,1.99,light rain
179,Beloha,MG,2021-02-06 17:52:13,-25.1667,45.05,77.86,81,7,5.68,clear sky
180,Pevek,RU,2021-02-06 17:49:43,69.7008,170.3133,-1.7,86,100,2.42,overcast clouds
181,Isangel,VU,2021-02-06 17:52:13,-19.55,169.2667,77.49,80,0,3.76,clear sky
182,Antropovo,RU,2021-02-06 17:52:13,58.3988,43.0066,-6.25,90,100,9.73,overcast clouds
183,Vanavara,RU,2021-02-06 17:52:13,60.34,102.2797,0.59,93,100,4.7,overcast clouds
184,Ljungby,SE,2021-02-06 17:52:13,56.8332,13.9408,17.01,86,42,8.05,scattered clouds
185,Faya,SA,2021-02-06 17:50:14,18.3851,42.4509,53.6,82,40,4.61,scattered clouds
186,Padre Bernardo,BR,2021-02-06 17:52:13,-15.35,-48.5,79.72,81,92,7.85,overcast clouds
187,Saskylakh,RU,2021-02-06 17:48:27,71.9167,114.0833,-35.25,81,80,5.3,broken clouds
188,Talnakh,RU,2021-02-06 17:52:14,69.4865,88.3972,-29.0,75,0,3.44,clear sky
189,Damara,CF,2021-02-06 17:52:14,4.9608,18.7035,93.2,59,20,3.44,few clouds
190,Plettenberg Bay,ZA,2021-02-06 17:52:14,-34.0527,23.3716,68.67,83,7,5.61,clear sky
191,Lavrentiya,RU,2021-02-06 17:52:14,65.5833,-171.0,-4.56,80,73,4.29,broken clouds
192,Gornopravdinsk,RU,2021-02-06 17:51:29,60.05,69.9,34.93,95,100,9.44,overcast clouds
193,Talara,PE,2021-02-06 17:52:14,-4.5772,-81.2719,87.8,48,20,10.36,few clouds
194,Kudahuvadhoo,MV,2021-02-06 17:52:15,2.6708,72.8944,81.52,75,58,13.85,broken clouds
195,Port-Gentil,GA,2021-02-06 17:51:49,-0.7193,8.7815,84.2,79,40,9.22,light rain
196,Porto Velho,BR,2021-02-06 17:49:50,-8.7619,-63.9039,82.4,74,40,4.61,light rain
197,Sungairaya,ID,2021-02-06 17:52:15,0.7,108.9,76.93,90,100,7.02,overcast clouds
198,Sherwood,US,2021-02-06 17:52:15,34.8151,-92.2243,51.01,46,90,12.66,overcast clouds
199,Beinamar,TD,2021-02-06 17:52:15,8.6698,15.3813,82.51,15,4,4.18,clear sky
200,Chapais,CA,2021-02-06 17:47:39,49.7834,-74.8492,17.6,67,40,14.97,scattered clouds
201,Pangnirtung,CA,2021-02-06 17:52:15,66.1451,-65.7125,14.0,79,75,2.3,broken clouds
202,Mut,TR,2021-02-06 17:48:19,36.6439,33.4389,53.35,51,2,0.58,clear sky
203,Zhumadian,CN,2021-02-06 17:52:16,32.9794,114.0294,49.41,59,11,4.16,few clouds
204,Sarkand,KZ,2021-02-06 17:52:16,45.41,79.9186,34.75,71,51,7.38,broken clouds
205,San Quintin,MX,2021-02-06 17:52:16,30.4833,-115.95,62.24,62,0,3.67,clear sky
206,Bonavista,CA,2021-02-06 17:52:16,48.6499,-53.1147,35.01,93,100,4.61,overcast clouds
207,Mandera,KE,2021-02-06 17:52:16,3.9366,41.867,83.95,32,30,3.49,scattered clouds
208,Ketchikan,US,2021-02-06 17:52:16,55.3422,-131.6461,35.6,100,90,2.82,overcast clouds
209,Patacamaya,BO,2021-02-06 17:52:17,-17.2333,-67.9167,59.47,44,75,5.44,broken clouds
210,Ancud,CL,2021-02-06 17:49:49,-41.8697,-73.8203,77.0,44,0,8.05,clear sky
211,Saint-Joseph,RE,2021-02-06 17:52:17,-21.3667,55.6167,80.6,83,40,4.61,light rain
212,Gerash,IR,2021-02-06 17:52:17,27.6652,54.1371,60.8,41,0,1.83,clear sky
213,Killybegs,IE,2021-02-06 17:52:17,54.6333,-8.45,42.8,87,90,4.61,overcast clouds
214,Westport,US,2021-02-06 17:50:24,41.1415,-73.3579,42.8,52,1,16.11,clear sky
215,Anadyr,RU,2021-02-06 17:49:35,64.75,177.4833,-9.0,77,0,11.18,clear sky
216,Los Llanos De Aridane,ES,2021-02-06 17:49:26,28.6585,-17.9182,64.4,63,20,17.27,few clouds
217,Caravelas,BR,2021-02-06 17:52:18,-17.7125,-39.2481,83.12,76,94,10.6,overcast clouds
218,San Patricio,US,2021-02-06 17:50:25,28.017,-97.5169,68.0,77,90,9.22,overcast clouds
219,Katsuura,JP,2021-02-06 17:47:32,35.1333,140.3,44.6,61,0,4.61,clear sky
220,Marienburg,PL,2021-02-06 17:52:18,54.0359,19.0266,12.2,79,20,4.61,few clouds
221,Khasan,RU,2021-02-06 17:52:18,42.4308,130.6434,19.54,92,97,10.09,overcast clouds
222,Lagoa,PT,2021-02-06 17:52:18,39.05,-27.9833,59.63,90,100,22.19,overcast clouds
223,Changji,CN,2021-02-06 17:52:18,44.0167,87.3167,8.6,92,30,2.24,mist
224,Shelburne,CA,2021-02-06 17:52:19,44.0787,-80.2041,18.0,85,95,22.1,overcast clouds
225,Saint-Pierre,RE,2021-02-06 17:52:19,-21.3393,55.4781,80.6,83,40,4.61,scattered clouds
226,Carnarvon,AU,2021-02-06 17:49:12,-24.8667,113.6333,80.6,100,75,10.36,broken clouds
227,Sorland,NO,2021-02-06 17:52:19,67.667,12.6934,34.79,82,95,25.55,overcast clouds
228,Jacmel,HT,2021-02-06 17:52:19,18.2342,-72.5347,87.8,48,20,11.5,few clouds
229,Camacupa,AO,2021-02-06 17:52:19,-12.0167,17.4833,66.78,90,100,2.71,light rain
230,Mosquera,CO,2021-02-06 17:52:19,4.7059,-74.2302,69.8,37,40,6.91,scattered clouds
231,Progreso,MX,2021-02-06 17:52:19,21.2833,-89.6667,88.0,69,40,6.91,scattered clouds
232,Kamaishi,JP,2021-02-06 17:52:20,39.2667,141.8833,39.94,84,84,4.88,broken clouds
233,Trelleborg,SE,2021-02-06 17:52:20,55.3751,13.1569,23.0,68,0,9.22,clear sky
234,Kabompo,ZM,2021-02-06 17:52:20,-13.5927,24.2008,70.93,81,62,2.48,broken clouds
235,Brandfort,ZA,2021-02-06 17:52:20,-28.7001,26.4597,75.2,60,20,10.36,light rain
236,Kavieng,PG,2021-02-06 17:52:20,-2.5744,150.7967,81.64,71,92,1.83,overcast clouds
237,Guayaramerin,BO,2021-02-06 17:51:10,-10.8368,-65.3614,77.0,94,75,3.44,moderate rain
238,Ulcinj,ME,2021-02-06 17:52:20,41.9294,19.2244,55.4,87,20,4.61,few clouds
239,Rozkishne,UA,2021-02-06 17:52:21,48.5074,39.3004,25.97,82,73,11.23,broken clouds
240,Lingyuan,CN,2021-02-06 17:52:21,41.24,119.4011,14.56,92,58,4.52,broken clouds
241,Port Pirie,AU,2021-02-06 17:52:21,-33.1833,138.0167,64.4,88,90,13.8,overcast clouds
242,Grindavik,IS,2021-02-06 17:52:21,63.8424,-22.4338,35.6,69,40,16.11,scattered clouds
243,Lorengau,PG,2021-02-06 17:52:21,-2.0226,147.2712,81.48,77,56,4.16,broken clouds
244,Dergachi,RU,2021-02-06 17:52:21,51.2328,48.7659,11.62,93,100,13.4,overcast clouds
245,Izhmorskiy,RU,2021-02-06 17:52:21,56.194,86.6414,29.59,98,99,11.23,overcast clouds
246,Hofn,IS,2021-02-06 17:52:22,64.2539,-15.2082,35.11,85,99,18.03,light snow
247,Kabanjahe,ID,2021-02-06 17:52:22,3.1001,98.4908,78.8,94,40,4.61,haze
248,Stilfontein,ZA,2021-02-06 17:52:22,-26.8449,26.7683,65.97,75,65,3.96,broken clouds
249,Vacaria,BR,2021-02-06 17:52:22,-28.5122,-50.9339,75.0,29,49,3.0,scattered clouds
250,Gravdal,NO,2021-02-06 17:52:22,68.1214,13.5031,32.81,88,78,21.59,broken clouds
251,Esperance,AU,2021-02-06 17:50:23,-33.8667,121.9,59.0,94,90,12.66,light rain
252,Inyonga,TZ,2021-02-06 17:52:22,-6.7167,32.0667,67.66,90,76,3.42,light rain
253,Tuatapere,NZ,2021-02-06 17:49:08,-46.1333,167.6833,51.51,85,1,3.78,clear sky
254,San Cristobal,VE,2021-02-06 17:52:22,7.7669,-72.225,77.27,63,100,5.48,overcast clouds
255,The Valley,AI,2021-02-06 17:52:23,18.217,-63.0578,77.0,94,20,8.05,few clouds
256,Goderich,CA,2021-02-06 17:52:00,43.7501,-81.7165,17.6,67,100,21.85,overcast clouds
257,Dunedin,NZ,2021-02-06 17:52:23,-45.8742,170.5036,57.99,85,3,3.09,clear sky
258,Mount Gambier,AU,2021-02-06 17:52:23,-37.8333,140.7667,57.2,82,90,8.05,overcast clouds
259,Sept-Iles,CA,2021-02-06 17:52:23,50.2001,-66.3821,30.2,93,100,3.44,snow
260,Hot Springs,US,2021-02-06 17:51:08,34.5037,-93.0552,50.0,49,75,12.66,broken clouds
