City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2832,Basco,PH,73.8,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
2834,Cabo San Lucas,MX,78.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
2835,Bambous Virieux,MU,80.01,few clouds,-20.3428,57.7575,Casa Tia Villa
2837,Hambantota,LK,77.74,overcast clouds,6.1241,81.1185,Bungalow 63
2842,Bosaso,SO,74.46,clear sky,11.2842,49.1816,Red Sea Hotel
2843,Faanui,PF,81.45,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
2844,San Isidro,PE,78.8,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
2849,Namibe,AO,72.81,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
2851,Arlit,NE,73.54,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
2860,San Pedro,PH,77.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
2861,Sao Filipe,CV,71.2,few clouds,14.8961,-24.4956,Tortuga B&B
2869,Japura,ID,74.05,broken clouds,-0.3167,102.35,Rumah mbah Jamah
2870,Mitsamiouli,KM,82.8,light rain,-11.3847,43.2844,Foyer ADM
2872,Kismayo,SO,77.07,few clouds,-0.3582,42.5454,Agan-Hotel
2873,Atar,MR,72.68,scattered clouds,20.5169,-13.0499,Oumou Elghoura
2874,Santa Maria Da Vitoria,BR,84.47,overcast clouds,-13.3947,-44.1886,Pousada Rio Current
2878,Pisco,PE,75.99,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
2885,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
2887,Poum,NC,79.83,few clouds,-20.2333,164.0167,Gîte kajeon
2890,Boyolangu,ID,75.25,overcast clouds,-8.1181,111.8935,Yos ega cv
2892,Bengkulu,ID,76.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
2907,Cape Town,ZA,73.99,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
2909,Beira,MZ,84.2,moderate rain,-19.8436,34.8389,Beira Terrace Hotel
2911,Lima,PE,78.8,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
2915,Saldanha,ZA,73.4,few clouds,-33.0117,17.9442,Blue Bay Lodge
2918,Kiunga,PG,74.37,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
2921,Isangel,VU,77.49,clear sky,-19.55,169.2667,Volcano Sea View Tree House
2933,Talara,PE,87.8,few clouds,-4.5772,-81.2719,Hostal Oro Negro
2934,Kudahuvadhoo,MV,81.52,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
2935,Port-Gentil,GA,84.2,light rain,-0.7193,8.7815,Fengshui Residence
2936,Porto Velho,BR,84.2,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
2937,Sungairaya,ID,76.93,overcast clouds,0.7,108.9,Mess P.Milu
2947,Mandera,KE,83.95,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
2950,Ancud,CL,77.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
2951,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
2957,Caravelas,BR,83.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
2965,Saint-Pierre,RE,80.6,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
2966,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
2968,Jacmel,HT,89.6,few clouds,18.2342,-72.5347,Hotel Florita
2971,Progreso,MX,89.01,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
2974,Kabompo,ZM,70.93,broken clouds,-13.5927,24.2008,Big Tree
2975,Brandfort,ZA,75.2,light rain,-28.7001,26.4597,SUMFRA GUESTHOUSE
2976,Kavieng,PG,81.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
2977,Guayaramerin,BO,77.0,moderate rain,-10.8368,-65.3614,Hostal Funf
2983,Lorengau,PG,81.48,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
2987,Kabanjahe,ID,78.8,haze,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
